"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84"
"Time",0.01,0.21,0.17,0.18,0.03,0.01,0.01,0.03,0.11,NA,NA,NA,0.01,0.2,0.2,0.01,0.01,NA,1.25,1.31,0.24,NA,0.23,NA,0.01,0.18,0.2,0.18,0.04,0.01,1.61,1.46,NA,NA,NA,0.03,0.26,0.01,0.01,0.03,NA,0.02,1.3,1.39,0.04,NA,NA,0.04,0.2,0.01,0.01,0.01,NA,NA,1.41,3.59,0.02,NA,NA,NA,0.01,0.19,0.2,0.14,0.02,8.43,1.3,6.38,NA,NA,NA,NA,0.21,0.2,0.19,0.01,1.09,0.02,0.03,0.02,NA,NA,NA,0.05
"Time",0.22,0.2,0.01,0.2,NA,0.05,1.26,1.38,NA,NA,NA,0.12,0.01,0.2,0.19,0.01,0.01,NA,3.37,0.02,0.02,NA,NA,0.4,0.01,0.19,0.18,0.19,NA,0.01,1.35,1.35,0.35,NA,NA,NA,0.19,0.23,0.18,0.01,NA,NA,0.02,1.38,NA,NA,NA,NA,0.01,0.22,0.19,0.22,NA,14.42,2.58,2.81,NA,NA,NA,NA,0.19,0.18,0.17,0.18,0.97,0.02,1.18,1.53,NA,NA,NA,0.04,0.2,0.22,0.18,0.2,0.13,6.56,5.55,2.28,NA,0.27,NA,0.4
"Time",0.23,0.18,0.19,0.19,NA,NA,1.44,1.13,NA,0.02,NA,NA,0.25,0.2,0.01,0.17,NA,NA,2.48,1.44,NA,NA,NA,NA,0.19,0.18,0.01,0.01,NA,NA,1.48,1.31,NA,0.13,NA,NA,0.2,0.21,0.01,0.27,NA,0.02,7.49,3.5,NA,NA,NA,0.07,0.2,0.18,0.01,0.26,0.05,NA,11.53,0.02,0.05,NA,NA,NA,0.25,0.01,0.01,0.18,NA,NA,1.44,1.27,NA,0.11,NA,NA,0.2,0.01,0.16,0.01,0.02,10.4,0.01,2.65,0.1,0.03,0.08,NA
"Time",0.2,0.01,0.18,0.01,NA,NA,1.33,1.3,NA,NA,NA,0.01,0.21,0.18,0.01,0.01,NA,NA,5.36,0.01,0.02,NA,NA,NA,0.01,0.27,0.19,0.19,NA,NA,1.34,1.45,NA,0.14,NA,NA,0.17,0.01,0.2,0.18,NA,0.04,0.01,0.03,NA,NA,NA,NA,0.22,0.21,0.19,0.22,NA,0.01,9.56,3.86,NA,NA,NA,0.17,0.01,0.01,0.18,0.03,NA,0.01,4.47,1.44,0.07,NA,0.13,NA,0.19,0.24,0.2,0.14,0.11,0.9,0.08,0.01,0.02,NA,NA,NA
"Time",0.23,0.19,0.22,0.21,NA,0.04,1.29,1.48,NA,NA,NA,0.07,0.01,0.02,0.2,0.24,NA,NA,1.36,3.37,NA,NA,NA,NA,0.21,0.01,0.01,0.01,NA,NA,1.35,4.32,NA,0.03,NA,NA,0.22,0.18,0.19,0.01,0.02,19.38,1.42,1.35,NA,NA,NA,NA,0.25,0.21,0.31,0.18,NA,0.02,0.01,2.38,0.17,NA,NA,NA,0.01,0.01,0.18,0.2,0.04,NA,1.31,1.45,NA,NA,NA,NA,0.01,0.01,0.2,0.18,0.01,5.64,4.55,5.48,NA,NA,NA,NA
"Time",0.21,0.24,0.2,0.2,0.01,0.03,1.23,1.32,NA,NA,NA,NA,0.23,0.19,0.21,0.01,NA,NA,1.35,1.28,NA,NA,NA,NA,0.03,0.17,0.01,0.19,0.02,0.03,1.44,0.01,NA,NA,NA,NA,0.01,0.24,0.01,0.17,NA,0.03,0.05,1.47,NA,NA,NA,0.2,0.16,0.25,0.22,0.16,NA,NA,14.55,1.46,NA,NA,NA,0.41,0.19,0.21,0.01,0.01,NA,0.02,0.03,0.02,NA,0.06,0.01,NA,0.17,0.19,0.02,0.01,0.98,0.13,0.56,2.73,NA,0.16,NA,NA
"Time",0.25,0.2,0.02,0.01,0.04,NA,1.44,3.46,NA,0.02,NA,0.02,0.19,0.22,0.23,0.01,NA,NA,0.01,1.46,0.01,0.05,NA,0.11,0.31,0.01,0.19,0.18,0.83,0.01,2.34,1.44,NA,NA,0.02,NA,0.2,0.01,0.28,0.17,NA,NA,0.02,0.01,NA,NA,NA,NA,0.01,0.36,0.18,0.23,NA,0.74,0.1,4.89,NA,NA,0.1,NA,0.01,0.2,0.19,0.2,NA,0.06,1.38,1.31,NA,NA,NA,NA,0.21,0.03,0.17,0.16,0.88,5.42,2.46,2.53,0.01,NA,NA,NA
"Time",0.31,0.23,0.23,0.2,NA,NA,1.37,1.24,NA,NA,NA,NA,0.18,0.21,0.23,0.22,0.03,9.52,1.28,1.36,NA,NA,NA,NA,0.24,0.01,0.25,0.17,NA,0.02,1.37,1.53,NA,0.13,NA,NA,0.23,0.01,0.19,0.2,NA,NA,0.02,1.52,NA,NA,NA,NA,0.01,0.18,0.01,0.2,NA,NA,7.56,0.01,NA,NA,NA,0.1,0.19,0.19,0.21,0.19,NA,0.01,1.32,3.39,0.06,0.05,NA,NA,0.02,0.22,0.01,0.21,1.15,0.07,3.01,0.01,NA,NA,NA,NA
"Time",0.25,0.01,0.01,0.01,NA,15.44,1.37,1.41,NA,NA,0.12,NA,0.21,0.01,0.18,0.21,NA,0.02,1.26,1.38,NA,NA,NA,NA,0.19,0.21,0.17,0.17,NA,NA,2.51,1.25,0.02,NA,NA,NA,0.19,0.01,0.2,0.22,NA,15.45,0.02,1.27,NA,NA,NA,NA,0.23,0.01,0.16,0.23,0.99,NA,2.56,5.55,NA,NA,NA,NA,0.19,0.16,0.21,0.17,0.04,19.42,0.03,1.42,NA,NA,NA,NA,0.17,0.26,0.19,0.17,0.75,16.51,4.53,2.48,NA,0.15,NA,NA
"Time",0.22,0.23,0.21,0.21,NA,0.01,1.29,1.27,0.06,NA,NA,NA,0.18,0.02,0.17,0.02,0.01,0.01,1.36,1.17,NA,NA,0.04,NA,0.25,0.01,0.19,0.01,NA,NA,2.45,1.41,NA,NA,0.1,NA,0.02,0.18,0.01,0.01,0.01,NA,1.46,2.51,0.04,NA,NA,NA,0.25,0.17,0.2,0.17,1.01,0.07,7.55,0.03,NA,NA,NA,NA,0.29,0.24,0.19,0.18,1.13,5.46,5.45,0.01,NA,0.09,0.09,NA,0.19,0.33,0.01,0.2,1.03,1.04,5.32,3.51,NA,0.01,NA,NA
"Time",0.01,0.04,0.01,0.24,0.01,NA,1.28,1.28,0.17,0.01,NA,NA,0.01,0.22,0.01,0.17,0.03,0.01,0.01,0.02,NA,NA,0.18,0.02,0.16,0.01,0.27,0.01,0.03,NA,0.03,0.16,NA,NA,NA,NA,0.21,0.2,0.01,0.17,NA,NA,5.32,0.04,NA,NA,0.03,NA,0.2,0.22,0.23,0.01,0.84,NA,0.01,1.78,0.12,NA,NA,NA,0.21,0.01,0.2,0.19,NA,NA,6.45,0.02,0.01,NA,NA,NA,0.24,0.16,0.02,0.21,NA,1.07,7.58,2.29,NA,0.11,NA,0.04
"Time",0.02,0.21,0.19,0.01,NA,0.01,1.25,0.02,NA,NA,0.02,0.15,0.44,0.25,0.2,0.01,NA,NA,1.32,1.28,NA,NA,NA,NA,0.01,0.21,0.24,0.22,NA,NA,1.47,1.46,0.09,0.01,NA,NA,0.19,0.21,0.18,0.01,0.01,0.03,0.01,0.1,NA,NA,0.04,NA,0.01,0.22,0.02,0.03,0.85,NA,2.44,3.64,NA,NA,NA,NA,0.01,0.01,0.18,0.17,1.38,NA,3.47,2.5,NA,NA,NA,0.02,0.23,0.01,0.01,0.2,0.02,1.38,0.02,0.01,NA,NA,NA,NA
"Time",0.23,0.23,0.21,0.18,0.02,13.4,0.03,1.31,NA,NA,NA,NA,0.29,0.26,0.18,0.02,0.02,0.01,1.49,1.41,0.18,0.04,0.11,NA,0.01,0.01,0.23,0.16,0.02,0.01,2.46,1.43,NA,NA,0.07,NA,0.23,0.27,0.01,0.17,NA,0.02,5.42,1.4,NA,NA,NA,NA,0.2,0.22,0.22,0.18,NA,NA,0.01,3.49,NA,NA,NA,NA,0.03,0.2,0.21,0.01,NA,NA,1.44,2.49,NA,NA,0.03,NA,0.01,0.2,0.01,0.17,NA,NA,0.01,0.01,NA,NA,NA,NA
"Time",0.19,0.01,0.19,0.01,NA,NA,0.01,0.01,0.02,NA,NA,NA,0.02,0.26,0.19,0.17,0.05,12.5,1.51,1.37,NA,NA,NA,NA,0.01,0.23,0.2,0.22,0.02,14.56,0.03,0.02,0.07,NA,NA,NA,0.22,0.18,0.01,0.16,NA,14.67,2.45,1.41,NA,NA,0.11,NA,0.01,0.16,0.22,0.01,0.02,0.71,5.44,2.69,0.03,NA,0.05,NA,0.01,0.2,0.23,0.01,NA,0.02,1.37,1.38,NA,NA,NA,NA,0.21,0.2,0.18,0.02,0.02,1.26,0.05,0.03,NA,NA,0.13,NA
"Time",0.22,0.27,0.17,0.24,NA,18.49,1.37,1.38,NA,NA,NA,NA,0.22,0.23,0.01,0.21,NA,NA,1.3,1.46,NA,NA,NA,0.4,0.18,0.2,0.18,0.19,NA,10.47,1.43,1.41,0.44,NA,NA,0.06,0.21,0.17,0.23,0.18,0.01,NA,0.03,4.48,0.11,NA,0.01,NA,0.21,0.19,0.18,0.18,NA,1.06,9.42,3.55,0.02,NA,NA,NA,0.19,0.23,0.19,0.01,NA,NA,0.01,0.01,NA,NA,NA,NA,0.19,0.01,0.01,0.01,NA,0.07,0.01,5.63,NA,0.16,NA,0.06
"Time",0.21,0.22,0.2,0.2,NA,NA,1.52,1.37,0.07,NA,0.08,NA,0.21,0.22,0.2,0.01,NA,NA,0.01,0.03,0.01,0.26,NA,NA,0.21,0.22,0.19,0.22,NA,17.38,1.37,0.02,NA,NA,0.15,0.18,0.2,0.17,0.2,0.23,NA,NA,1.44,2.65,0.03,0.01,0.12,NA,0.02,0.23,0.19,0.24,0.76,0.01,3.51,0.08,NA,0.05,NA,0.13,0.19,0.21,0.18,0.17,NA,1.25,2.45,1.44,NA,0.47,NA,NA,0.15,0.18,0.21,0.17,0.78,0.91,0.01,0.04,NA,NA,NA,NA
"Time",0.2,0.01,0.21,0.2,NA,NA,1.23,1.22,0.23,NA,NA,NA,0.22,0.32,0.21,0.16,NA,NA,1.23,1.44,0.21,NA,NA,NA,0.22,0.18,0.22,0.02,0.04,0.03,0.01,1.38,NA,NA,0.13,NA,0.19,0.23,0.19,0.24,NA,NA,1.42,1.48,NA,0.02,NA,0.3,0.01,0.18,0.2,0.26,NA,NA,1.5,6.45,NA,NA,NA,NA,0.47,0.25,0.18,0.24,2.34,NA,1.33,1.42,NA,NA,NA,0.06,0.2,0.17,0.22,0.01,0.03,NA,2.54,0.02,NA,0.02,NA,NA
"Time",0.01,0.27,0.01,0.01,NA,0.03,1.35,1.24,NA,NA,0.05,NA,0.17,0.19,0.01,0.18,NA,NA,0.01,1.28,NA,NA,NA,NA,0.25,0.18,0.16,0.01,NA,18.6,1.46,1.39,0.05,0.1,NA,0.04,0.01,0.22,0.17,0.25,NA,NA,0.01,1.47,NA,0.12,NA,NA,0.23,0.01,0.01,0.01,1.05,14.64,8.59,0.01,NA,0.18,NA,0.04,0.27,0.2,0.19,0.2,0.03,0.03,2.44,0.04,NA,0.06,0.02,0.03,0.01,0.2,0.16,0.16,0.01,1.3,2.42,2.51,NA,0.13,NA,NA
"Time",0.27,0.32,0.2,0.18,NA,NA,1.25,1.35,NA,NA,NA,NA,0.28,0.02,0.01,0.21,NA,NA,1.34,1.37,NA,NA,NA,NA,0.23,0.01,0.23,0.2,NA,NA,1.52,0.03,NA,NA,NA,NA,0.18,0.2,0.18,0.24,0.95,16.56,1.47,1.42,0.03,NA,NA,0.04,0.24,0.2,0.25,0.2,0.02,NA,1.32,1.55,NA,0.3,NA,NA,0.01,0.01,0.2,0.02,NA,NA,1.42,1.37,NA,NA,NA,NA,0.19,0.17,0.18,0.19,12.7,NA,4.62,1.33,0.02,NA,NA,NA
"Time",0.22,0.19,0.16,0.22,0.01,NA,1.39,1.35,NA,NA,0.09,NA,0.19,0.27,0.22,0.02,NA,0.01,1.5,1.49,NA,NA,NA,NA,0.01,0.17,0.01,0.2,0.01,0.01,5.37,1.42,NA,NA,0.09,NA,0.22,0.19,0.18,0.24,NA,NA,3.43,1.48,0.07,NA,NA,NA,0.02,0.22,0.01,0.17,NA,NA,3.7,0.03,NA,NA,NA,NA,0.22,0.19,0.21,0.23,2.25,NA,0.06,1.44,NA,NA,NA,NA,0.18,0.19,0.2,0.19,NA,NA,18.52,5.53,NA,NA,0.61,NA
"Time",0.22,0.2,0.2,0.24,NA,NA,1.26,1.25,NA,NA,NA,NA,0.01,0.25,0.19,0.19,NA,NA,1.38,1.25,NA,0.02,NA,NA,0.17,0.01,0.19,0.17,0.03,2.59,0.06,1.48,NA,NA,NA,NA,0.2,0.18,0.22,0.18,0.03,3.53,1.45,1.43,NA,NA,NA,NA,0.01,0.3,0.19,0.19,NA,NA,6.35,0.02,NA,NA,NA,0.02,0.01,0.2,0.19,0.17,0.01,NA,1.34,1.44,NA,NA,NA,NA,0.2,0.2,0.02,0.2,0.94,0.01,2.37,0.03,NA,NA,NA,NA
"Time",0.02,0.25,0.25,0.18,NA,15.42,0.02,1.48,0.16,NA,NA,NA,0.01,0.23,0.18,0.2,NA,0.01,0.01,1.35,NA,NA,NA,0.06,0.01,0.2,0.23,0.01,NA,NA,2.41,1.32,0.03,NA,NA,NA,0.01,0.2,0.23,0.2,NA,NA,1.48,4.54,0.07,0.08,NA,NA,0.19,0.19,0.2,0.01,0.02,7.75,0.04,0.04,NA,NA,NA,NA,0.21,0.23,0.2,0.2,NA,NA,8.45,4.53,NA,0.27,NA,NA,0.27,0.19,0.22,0.17,0.97,0.01,0.03,4.55,NA,NA,NA,NA
"Time",0.2,0.02,0.2,0.01,NA,12.61,1.24,1.36,NA,NA,NA,NA,0.21,0.2,0.17,0.18,NA,0.04,1.32,1.44,0.2,NA,NA,NA,0.01,0.01,0.21,0.23,NA,0.04,0.01,1.35,NA,0.02,NA,NA,0.19,0.19,0.21,0.2,0.02,7.64,4.5,1.5,NA,NA,NA,NA,0.01,0.24,0.16,0.22,0.02,3.73,7.43,3.7,NA,0.02,NA,NA,0.21,0.35,0.19,0.2,NA,NA,1.6,1.45,0.36,NA,0.12,NA,0.2,0.19,0.21,0.22,0.01,0.92,0.01,0.09,0.2,NA,NA,NA
"Time",0.25,0.16,0.01,0.19,NA,NA,1.37,1.34,NA,NA,NA,NA,0.01,0.21,0.19,0.02,NA,0.01,2.35,1.34,NA,NA,NA,NA,0.21,0.2,0.22,0.19,NA,NA,2.42,1.37,NA,0.13,NA,NA,0.28,0.19,0.17,0.25,10.18,14.56,4.36,1.35,0.17,NA,NA,NA,0.22,0.2,0.19,0.01,0.03,NA,0.01,0.73,NA,NA,NA,NA,0.2,0.17,0.01,0.03,0.01,0.06,2.38,2.54,NA,NA,NA,NA,0.22,0.01,0.22,0.23,0.03,1.01,2.63,0.02,0.16,NA,NA,NA
"Time",0.19,0.2,0.21,0.21,NA,6.52,0.07,1.58,NA,NA,NA,NA,0.22,0.22,0.01,0.18,NA,6.38,1.37,0.01,NA,0.11,0.02,0.16,0.19,0.22,0.01,0.21,NA,NA,1.51,0.02,NA,NA,NA,NA,0.23,0.18,0.01,0.02,NA,0.02,0.02,0.04,NA,NA,NA,NA,0.22,0.21,0.01,0.18,1.29,7.57,0.93,3.52,NA,NA,0.14,NA,0.24,0.23,0.18,0.22,0.02,0.01,0.02,0.01,NA,NA,0.04,NA,0.21,0.21,0.01,0.22,0.15,1.02,12.6,1.38,0.12,0.23,0.19,NA
"Time",0.01,0.17,0.01,0.02,0.01,NA,0.02,1.41,NA,NA,NA,NA,0.2,0.2,0.17,0.18,NA,0.01,1.46,1.39,NA,NA,0.03,NA,0.01,0.01,0.16,0.01,NA,NA,1.41,1.43,NA,0.12,NA,NA,0.01,0.03,0.18,0.16,NA,NA,0.01,1.43,0.14,0.11,NA,NA,0.2,0.01,0.2,0.01,0.94,0.01,0.01,0.06,NA,NA,NA,0.1,0.2,0.23,0.02,0.01,NA,NA,0.02,0.01,0.02,0.12,0.06,NA,0.18,0.18,0.21,0.22,0.01,NA,3.58,3.62,NA,NA,NA,0.17
"Time",0.19,0.23,0.2,0.2,NA,0.01,3.23,1.21,0.04,NA,NA,NA,0.01,0.2,0.21,0.19,NA,NA,1.31,1.24,NA,NA,0.06,NA,0.01,0.01,0.19,0.17,NA,NA,0.07,0.01,NA,NA,0.02,NA,0.24,0.18,0.03,0.01,0.01,NA,0.03,2.33,NA,NA,NA,0.07,0.28,0.34,0.16,0.29,1.05,0.01,3.4,2.56,NA,NA,0.08,NA,0.02,0.19,0.18,0.18,NA,NA,4.5,3.47,0.01,NA,0.02,NA,0.2,0.26,0.21,0.2,0.01,0.02,5.46,1.5,NA,NA,0.15,0.1
"Time",0.18,0.28,0.21,0.25,NA,NA,1.2,0.01,NA,NA,NA,NA,0.01,0.01,0.2,0.22,NA,NA,1.39,1.53,NA,0.14,0.07,NA,0.17,0.19,0.17,0.2,NA,0.09,0.05,1.23,0.01,NA,NA,NA,0.21,0.2,0.19,0.18,0.03,NA,4.59,2.45,NA,NA,NA,NA,0.26,0.01,0.18,0.01,0.07,0.06,2.54,4.54,NA,NA,NA,NA,0.23,0.18,0.18,0.24,0.01,NA,1.29,1.38,NA,0.02,0.09,0.08,0.21,0.01,0.01,0.27,1.03,5.56,10.59,0.01,NA,0.12,NA,NA
"Time",0.21,0.01,0.21,0.02,NA,NA,2.35,0.01,0.13,NA,NA,NA,0.19,0.01,0.2,0.19,NA,NA,4.34,1.53,0.06,NA,NA,NA,0.22,0.2,0.01,0.25,NA,0.01,1.34,1.39,NA,NA,0.04,0.03,0.24,0.19,0.16,0.22,NA,7.7,2.44,2.4,0.13,NA,NA,NA,0.17,0.21,0.18,0.2,NA,NA,3.45,2.48,NA,NA,NA,0.11,0.21,0.19,0.18,0.2,NA,NA,2.39,2.38,NA,0.1,NA,NA,0.01,0.25,0.22,0.17,0.01,NA,4.5,4.55,NA,NA,NA,NA
"Time",0.01,0.29,0.01,0.2,0.03,2.37,1.31,1.22,0.23,NA,0.09,NA,0.01,0.24,0.01,0.01,0.03,5.44,0.01,0.01,NA,0.12,NA,NA,0.17,0.19,0.01,0.25,0.02,12.66,1.34,1.52,NA,NA,NA,0.23,0.23,0.21,0.01,0.17,NA,NA,0.02,1.45,NA,NA,NA,NA,0.19,0.18,0.28,0.01,0.94,9,6.24,0.01,NA,NA,NA,NA,0.22,0.19,0.22,0.01,NA,0.02,1.48,1.5,NA,0.17,0.05,0.08,0.01,0.15,0.22,0.23,0.78,0.97,5.53,0.02,NA,NA,NA,NA
"Time",0.24,0.01,0.01,0.15,0.02,NA,1.49,1.42,NA,NA,NA,NA,0.23,0.16,0.2,0.16,0.87,NA,1.33,1.33,NA,0.09,0.12,NA,0.01,0.19,0.18,0.22,0.02,0.03,0.02,1.4,NA,NA,0.13,NA,0.18,0.22,0.01,0.17,NA,17.68,1.49,1.45,NA,NA,NA,0.05,0.19,0.19,0.16,0.19,0.02,0.04,0.02,4.41,0.1,NA,NA,NA,0.2,0.21,0.01,0.22,NA,NA,0.02,0.01,NA,NA,0.04,0.01,0.2,0.2,0.21,0.2,NA,NA,3.39,2.58,0.09,NA,NA,NA
"Time",0.22,0.27,0.17,0.22,NA,0.01,1.23,1.2,NA,NA,NA,0.29,0.01,0.3,0.21,0.17,NA,NA,1.39,1.32,NA,NA,NA,0.03,0.01,0.21,0.01,0.17,0.05,6.49,1.49,0.01,NA,NA,0.06,NA,0.23,0.01,0.03,0.01,NA,6.42,0.01,1.44,NA,NA,NA,NA,0.18,0.24,0.2,0.01,1.11,3.61,7.55,1.55,NA,NA,NA,NA,0.21,0.17,0.21,0.01,NA,4.42,0.02,2.48,NA,NA,NA,NA,0.19,0.18,0.01,0.18,NA,16.48,2.59,1.3,NA,NA,NA,0.01
"Time",0.27,0.01,0.17,0.17,NA,0.03,2.44,0.02,0.01,NA,NA,0.14,0.21,0.19,0.24,0.26,0.01,0.01,1.47,2.41,NA,0.08,NA,NA,0.18,0.2,0.16,0.01,NA,NA,0.01,1.32,NA,NA,NA,NA,0.23,0.16,0.16,0.01,NA,0.04,1.33,0.51,NA,NA,NA,0.05,0.19,0.2,0.21,0.18,NA,NA,0.03,0.05,0.01,NA,0.02,NA,0.24,0.22,0.19,0.01,NA,17.48,0.02,4.38,NA,NA,0.03,NA,0.21,0.18,0.01,0.18,0.01,NA,5.34,2.36,NA,NA,NA,NA
"Time",0.26,0.24,0.23,0.26,NA,0.03,1.18,1.38,NA,NA,NA,NA,0.19,0.33,0.32,0.01,NA,NA,0.01,0.12,NA,NA,0.07,NA,0.02,0.22,0.19,0.21,NA,NA,1.43,2.58,NA,NA,0.39,NA,0.18,0.24,0.01,0.18,NA,NA,1.47,1.36,NA,NA,NA,NA,0.18,0.21,0.25,0.2,NA,0.01,8.42,3.57,0.12,NA,NA,0.01,0.21,0.2,0.22,0.18,1.51,NA,0.08,3.56,NA,NA,NA,NA,0.01,0.2,0.22,0.19,0.81,0.94,2.43,4.56,NA,NA,0.47,NA
"Time",0.23,0.28,0.2,0.01,0.01,NA,1.33,1.22,NA,NA,NA,0.1,0.29,0.23,0.01,0.18,0.02,9.58,1.48,1.3,NA,NA,NA,NA,0.2,0.18,0.17,0.23,NA,NA,1.31,1.66,NA,NA,NA,0.01,0.19,0.29,0.01,0.02,NA,3.74,0.03,4.62,NA,NA,NA,NA,0.19,0.21,0.01,0.22,0.88,NA,2.48,2.53,NA,NA,NA,NA,0.2,0.02,0.17,0.19,NA,8.58,1.34,4.53,NA,0.02,NA,NA,0.21,0.21,0.22,0.26,0.83,1.34,0.06,0.01,NA,NA,NA,NA
"Time",0.21,0.01,0.01,0.01,0.03,NA,2.41,1.29,NA,NA,NA,NA,0.19,0.21,0.02,0.18,NA,NA,0.12,1.46,NA,NA,NA,NA,0.2,0.24,0.19,0.19,0.02,0.06,1.54,1.76,NA,NA,NA,NA,0.17,0.27,0.19,0.16,NA,0.01,0.01,1.41,NA,0.2,NA,NA,0.28,0.26,0.01,0.25,NA,10.5,3.65,2.54,0.03,NA,NA,NA,0.23,0.2,0.21,0.2,NA,NA,2.45,0.02,NA,NA,0.03,NA,0.23,0.22,0.17,0.21,0.92,0.85,0.8,0.89,NA,NA,NA,NA
